Sorgu,Label,Recete
Bitkimin ana sorunu gri yaprak lekesi.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Tarladaki yapraklarda dikdörtgen gri lekeler yayıldı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Acil teşhis lazım: neden yapraklarda gri yaprak lekesi oluşur?.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Hocam dikdörtgen gri lekeler için hangi ilacı kullanmalıyım?,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Acil teşhis lazım: yeni çıkan yapraklarda dikdörtgen gri lekeler görüyorum..,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Sanırım bitkimde bir sorun var: dikdörtgen gri lekeler sorunu mahsulü mahvetti..,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Çiftçi arkadaşlara sordum, bitki yapraklarının üzerinde dikdörtgen gri lekeler görüyorum. dediler.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Sanırım bitkimde bir sorun var: yaprağın her yerini gri yaprak lekesi kaplamış..,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Kontrol ettim ve dikdörtgen gri lekeler ile nasıl mücadele edilir? gördüm.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yapraklara baktığımda dikdörtgen gri lekeler ile nasıl mücadele edilir? fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Bitkimin ana sorunu gri yaprak lekesi.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Hocam dikdörtgen gri lekeler için hangi ilacı kullanmalıyım?,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Maalesef yapraklarda gri yaprak lekesi var, ne yapabilirim?, ne yapmam gerekiyor?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Kontrol ettim ve bitki yapraklarının üzerinde dikdörtgen gri lekeler görüyorum. gördüm.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yardımcı olur musunuz, yapraklarda gri yaprak lekesi var, ne yapabilirim?.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Geçen gün damarlar boyunca uzanan gri çizgiler şüphesiyle baktım, sanırım öyle.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Damarlar boyunca uzanan gri çizgiler olan bitkiyi kurtarabilir miyim?,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Gri yaprak lekesi nedeniyle bitkim çok sağlıksız görünüyor.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Dikdörtgen gri lekeler sorunu mahsulü mahvetti.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Sanırım bitkimde bir sorun var: yapraklarda gri yaprak lekesi var, ne yapabilirim?.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yardımcı olur musunuz, gri yaprak lekesi nedeniyle bitkim çok sağlıksız görünüyor..",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Bitkimin durumuna bakar mısın, dikdörtgen gri lekeler var gibi.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Sanırım bitkimde bir sorun var: dikdörtgen gri lekeler sorunu mahsulü mahvetti..,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Gri yaprak lekesi domateslerimi sarmaya başladı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Dikdörtgen gri lekeler teşhisi koydum, doğru mu?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yapraklarda gri yaprak lekesi var, ne yapabilirim?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Acil teşhis lazım: dikdörtgen gri lekeler ile nasıl mücadele edilir?.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Maalesef neden yapraklarda gri yaprak lekesi oluşur?, ne yapmam gerekiyor?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yapraklara baktığımda dikdörtgen gri lekeler sorunu mahsulü mahvetti. fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yapraklara baktığımda bahçedeki bitkide dikdörtgen gri lekeler oluştu, teşhis nedir? fark ediyorum.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yapraklara baktığımda tarladaki yapraklarda dikdörtgen gri lekeler yayıldı. fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Sanırım bitkimde bir sorun var: gri yaprak lekesi domateslerimi sarmaya başladı..,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Maalesef bahçedeki bitkide dikdörtgen gri lekeler oluştu, teşhis nedir?, ne yapmam gerekiyor?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Yapraklara baktığımda bitkimin durumuna bakar mısın, dikdörtgen gri lekeler var gibi. fark ediyorum.",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Tarladaki yapraklarda dikdörtgen gri lekeler yayıldı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
"Dikdörtgen gri lekeler teşhisi koydum, doğru mu?",Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Bitkimin ana sorunu gri yaprak lekesi.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Tarladaki yapraklarda dikdörtgen gri lekeler yayıldı.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yapraklara baktığımda gri yaprak lekesi domateslerimi sarmaya başladı. fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
Yapraklara baktığımda bitkimin ana sorunu gri yaprak lekesi. fark ediyorum.,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Teşhis: Mısır Gri Yaprak Lekesi (Cercospora). Kültürel Önlemler: Hasat sonrası bitki artıklarını derine gömün veya tarladan uzaklaştırın. Münavebe (ekim nöbeti) uygulayarak üst üste mısır ekmeyin. Dayanıklı çeşitler tercih edin. Kimyasal Mücadele: Hastalık belirtileri ilk görüldüğünde tescilli fungisitler (mantar ilaçları) ile ilaçlama yapılmalıdır.
